country,date,ML,Low_90,High_90
Austria,2020-03-09,2.37615607751571,1.397066812628896,3.1985854276235615
Austria,2020-03-10,2.3729094785455276,1.3939437276671969,3.15818091128573
Austria,2020-03-11,2.320288203523614,1.4796271545715358,3.100849155519387
Austria,2020-03-12,2.213237641173536,1.4277330737706118,2.9133006194746343
Austria,2020-03-13,2.0453049968190493,1.3573332967426621,2.613229423480299
Austria,2020-03-14,1.9725042091479406,1.349869018899506,2.5162068039616683
Austria,2020-03-15,1.9207886953396238,1.3250870375056691,2.4136004832825213
Austria,2020-03-16,1.9251840642021902,1.3393552145624152,2.425391339748744
Austria,2020-03-17,1.8684056280013934,1.2758278396884024,2.3170040808118397
Austria,2020-03-18,1.7728146215531835,1.301539648937915,2.2342481638273712
Austria,2020-03-19,1.6985279659070227,1.2626417888738914,2.0812764444246588
Austria,2020-03-20,1.6596166519302935,1.2411395042675484,2.017430939722385
Austria,2020-03-21,1.5934484859988323,1.219380740096769,1.9331387496031287
Austria,2020-03-22,1.5298432068430479,1.1815454141793353,1.822756540404806
Austria,2020-03-23,1.4817339653150798,1.1445548602372653,1.750583179157541
Austria,2020-03-24,1.3422354215327674,1.0743806817922517,1.5970005488059198
Austria,2020-03-25,1.1538322789590683,0.9425818571967842,1.3905107859115358
Austria,2020-03-26,0.9410146603282263,0.7577441029500254,1.1343420062097769
Austria,2020-03-27,0.83426700020977,0.6478857069911982,1.0191184835126677
Austria,2020-03-28,0.7690990253905534,0.5835929048658831,0.9615725060206642
Austria,2020-03-29,0.7248111311212462,0.5205138513807581,0.931924417748208
Austria,2020-03-30,0.6720159300514676,0.44543572524027436,0.8755641238363675
Austria,2020-03-31,0.6387039909923099,0.41531252465001756,0.870526019590267
Austria,2020-04-01,0.5877633520562385,0.34516585049855336,0.8177094897924391
Austria,2020-04-02,0.5557923890516175,0.34114125298375947,0.8139273899864746
Austria,2020-04-03,0.5485587751368992,0.33693047373035634,0.8148715238333689
Austria,2020-04-04,0.5734937027986555,0.33999032605009916,0.8366630951629547
Austria,2020-04-05,0.6201668073796174,0.364309101811128,0.8873532768879766
Austria,2020-04-06,0.6754902391440841,0.39452572169827915,0.9566917268499961
Austria,2020-04-07,0.6982957244150649,0.4052640852939012,0.9987834553832404
Austria,2020-04-08,0.6875432589769161,0.3900611907284923,0.9908351153754547
Austria,2020-04-09,0.6420099904205161,0.3514054335065605,0.9301409625847764
Austria,2020-04-10,0.5830288670872623,0.3236716219828315,0.8593179189031616
Austria,2020-04-11,0.5458993206504348,0.26299182634666735,0.7953580208516415
Austria,2020-04-12,0.5212354376336619,0.2690342506852358,0.7963258144510557
Austria,2020-04-13,0.5127895607334673,0.24481621609133877,0.7741239486986868
Austria,2020-04-14,0.5140243255471281,0.25999896667650335,0.8024844621287459
Austria,2020-04-15,0.5168070307082768,0.23210324160338525,0.7923746610156909
Austria,2020-04-16,0.5208951502353661,0.24776881878843557,0.8196700791742157
Austria,2020-04-17,0.522255491398676,0.24092188109823082,0.8318953537381709
Austria,2020-04-18,0.5258197891589733,0.25308784958915864,0.8436876413400617
Austria,2020-04-19,0.5410082704605872,0.2268802112475788,0.8473605566194651
Austria,2020-04-20,0.5657005301855302,0.21716089823719176,0.8882832719500492
Austria,2020-04-21,0.5881755049085556,0.18854360587420607,0.9103805625376113
Austria,2020-04-22,0.612739604789912,0.19691045796102705,0.9727241359902162
Austria,2020-04-23,0.6288509478872907,0.182818966171911,1.0172141435722277
Austria,2020-04-24,0.6423316875482407,0.1665367217150122,1.0493320798118784
Belgium,2020-03-06,1.8139244381119588,1.0882355225410278,2.5779067662660924
Belgium,2020-03-07,1.7979223858536044,1.1502395668931422,2.4841352134090817
Belgium,2020-03-08,1.8125478315435488,1.1427969415709267,2.4398597681723238
Belgium,2020-03-09,1.8751463117770166,1.2244298214101625,2.5107438494633363
Belgium,2020-03-10,2.000139389636181,1.3086039411107642,2.647115483071686
Belgium,2020-03-11,2.1468562098642625,1.3732688010801763,2.832976401913045
Belgium,2020-03-12,2.2441608094278176,1.5022012291862163,3.031536400048723
Belgium,2020-03-13,2.1966991497929462,1.4472013861544992,2.824337453767874
Belgium,2020-03-14,2.088461241869178,1.462884309946846,2.7000194069446297
Belgium,2020-03-15,1.9916366899948246,1.4495220212716482,2.547178953011186
Belgium,2020-03-16,1.963057482238838,1.40923916969003,2.471420475345083
Belgium,2020-03-17,1.9998309153182032,1.4515893630742438,2.546269532223138
Belgium,2020-03-18,2.0760319808602317,1.4629105455713014,2.648839287973218
Belgium,2020-03-19,2.0536489773250217,1.4792256568480617,2.629824903310571
Belgium,2020-03-20,1.9039136184984429,1.4116445876971506,2.384382814974854
Belgium,2020-03-21,1.7831838686382304,1.3540775558178686,2.191772915906258
Belgium,2020-03-22,1.7320954336888852,1.2770582552770433,2.081515302447214
Belgium,2020-03-23,1.835110411176866,1.3457084819798846,2.2379857725532384
Belgium,2020-03-24,1.9689090721634883,1.466857928495384,2.4578742268636757
Belgium,2020-03-25,2.233503641079245,1.5427574862449076,2.8100233490392323
Belgium,2020-03-26,2.2206639661216,1.5072982516403792,2.753164713212037
Belgium,2020-03-27,1.92570192619799,1.422967503531414,2.377678406116481
Belgium,2020-03-28,1.4063954277748827,1.0934959216211098,1.6964998635218917
Belgium,2020-03-29,1.071707940533736,0.8762688969992564,1.2745963705907872
Belgium,2020-03-30,0.9423779798096816,0.7742995411611753,1.1033275987988778
Belgium,2020-03-31,0.9465018115064443,0.784601401220242,1.0972343459115972
Belgium,2020-04-01,1.0053192610858441,0.8513211173601773,1.1679780972585643
Belgium,2020-04-02,1.090969406832738,0.9287766777713864,1.2753781245804734
Belgium,2020-04-03,1.1158530907106845,0.9385370008250705,1.2840452108529716
Belgium,2020-04-04,1.0716587310523544,0.9068930374760852,1.2200005614214084
Belgium,2020-04-05,1.0046426240617623,0.8457294244167258,1.1526797212844508
Belgium,2020-04-06,1.0017813533045365,0.8509403771045823,1.1487423193673045
Belgium,2020-04-07,1.0431458491987964,0.8759813666715158,1.1870468818592976
Belgium,2020-04-08,1.0775509229004188,0.9290997610109641,1.2485756494306475
Belgium,2020-04-09,1.1044655587301087,0.9172626135084752,1.2734160305253066
Belgium,2020-04-10,1.0115854649554334,0.8337492893221239,1.1784124373079272
Belgium,2020-04-11,0.8900183411139877,0.744723618558479,1.044643444078151
Belgium,2020-04-12,0.9070727479212571,0.7451376874419074,1.0416782434055538
Belgium,2020-04-13,0.9066089888898511,0.7596230701996869,1.0528607182904315
Belgium,2020-04-14,0.9611815767409829,0.8049662874900446,1.1181452424839162
Belgium,2020-04-15,0.9878786087018496,0.8372475544321369,1.1499973865582727
Belgium,2020-04-16,0.9617716194084335,0.7944011672251755,1.1190972137498025
Belgium,2020-04-17,0.9242712684805535,0.7481499665358128,1.0853193359223083
Belgium,2020-04-18,0.8269924858749924,0.6480286963874912,0.9983521686325918
Belgium,2020-04-19,0.7320714875885421,0.5615922958714767,0.9162738519801029
Belgium,2020-04-20,0.7229109155903446,0.5463998818024539,0.913404114992827
Belgium,2020-04-21,0.705105298533735,0.5272537562348316,0.8996172707372627
Belgium,2020-04-22,0.6953457664545346,0.49551056655793585,0.8864744669416523
Belgium,2020-04-23,0.6833030233648462,0.47820841492516797,0.9044824312545081
Belgium,2020-04-24,0.6956650253310972,0.4226913409055546,0.9586238047549319
Bulgaria,2020-03-28,1.0865634287217434,0.6313541179671177,1.5815122400342234
Bulgaria,2020-03-29,1.0831675228161206,0.641272024092412,1.5435643441024443
Bulgaria,2020-03-30,1.081767203800848,0.6508379496968173,1.5595396522553493
Bulgaria,2020-03-31,1.0801959566215873,0.6433773394456047,1.5280114448310145
Bulgaria,2020-04-01,1.0803411503341662,0.5948830105286109,1.4656959769591629
Bulgaria,2020-04-02,1.0789342306724798,0.6478320949558583,1.5091123728598088
Bulgaria,2020-04-03,1.0767412385363806,0.6369577200383162,1.4839359591227952
Bulgaria,2020-04-04,1.0775052270136207,0.6368791883544377,1.4814469098050886
Bulgaria,2020-04-05,1.0803844585705102,0.6681136374694242,1.5230419413956755
Bulgaria,2020-04-06,1.0861306026226119,0.6561734885844116,1.4966792218635994
Bulgaria,2020-04-07,1.0920582485678585,0.6590026120119938,1.5042218271052548
Bulgaria,2020-04-08,1.0980325443471852,0.6872140917621955,1.5181547030809037
Bulgaria,2020-04-09,1.108468679093461,0.6779679001356,1.513543313169483
Bulgaria,2020-04-10,1.1179286101583379,0.6844591839415437,1.52346196794181
Bulgaria,2020-04-11,1.1324728441520093,0.6823787875342942,1.5377916320806355
Bulgaria,2020-04-12,1.150508042506536,0.7258277022170786,1.5952764702448055
Bulgaria,2020-04-13,1.1716886290195976,0.768217521529201,1.646666379407887
Bulgaria,2020-04-14,1.183996375189209,0.7386696592684968,1.621158097486858
Bulgaria,2020-04-15,1.1924351557514392,0.7966417905058336,1.6774268770351732
Bulgaria,2020-04-16,1.1974059493227431,0.7651484904664178,1.6535584957325957
Bulgaria,2020-04-17,1.1891000651079258,0.7414712389418118,1.6024588446272514
Bulgaria,2020-04-18,1.1899483591528097,0.8098972672289512,1.677497335295351
Bulgaria,2020-04-19,1.1958080069717143,0.7802917228765003,1.6513887628973503
Bulgaria,2020-04-20,1.2075463931427608,0.7833052708291824,1.6782446045365358
Bulgaria,2020-04-21,1.2238345913153046,0.6996856723660468,1.6460152365332554
Bulgaria,2020-04-22,1.2309752839649797,0.7720508129592352,1.745156994605309
Bulgaria,2020-04-23,1.2370802584183374,0.7367423106193137,1.7454422075955693
Bulgaria,2020-04-24,1.2449390532392826,0.7015627654058397,1.7763054001451348
Croatia,2020-03-20,1.4830728641514903,0.7066591965093789,2.1859438363191965
Croatia,2020-03-21,1.4422340268109322,0.7424930123723548,2.0809080254096473
Croatia,2020-03-22,1.377662944925249,0.8028797559921466,1.9757711041392334
Croatia,2020-03-23,1.3173120976556987,0.7997965571516127,1.8670483907191664
Croatia,2020-03-24,1.2627885466000373,0.7950958767879113,1.760197126292527
Croatia,2020-03-25,1.2050332948595142,0.8038186692902527,1.6590454786350772
Croatia,2020-03-26,1.1599914986732918,0.7531253626082857,1.5540123999578648
Croatia,2020-03-27,1.117034371683443,0.7550953682311037,1.5051164281259195
Croatia,2020-03-28,1.0776877553934618,0.7094732074334097,1.419588922346049
Croatia,2020-03-29,1.0483054941729,0.6727463160893031,1.3715066942426406
Croatia,2020-03-30,1.0088087506316545,0.6737010594335973,1.346384471969888
Croatia,2020-03-31,0.9769210988153231,0.6412501638435034,1.3080314229504961
Croatia,2020-04-01,0.9489745026708557,0.6216739961685382,1.277449473425232
Croatia,2020-04-02,0.9253933073523094,0.6017478394009906,1.270350010743978
Croatia,2020-04-03,0.9070946042019068,0.55806676829977,1.2146345770035767
Croatia,2020-04-04,0.9009955588160106,0.551717497070829,1.219026523560863
Croatia,2020-04-05,0.9028265786937157,0.5458064932394822,1.2166276109390886
Croatia,2020-04-06,0.9051165113848445,0.5654691581066327,1.2386104699149136
Croatia,2020-04-07,0.9078088529490431,0.579147038617296,1.2685713126971079
Croatia,2020-04-08,0.899332323054684,0.5632972067964861,1.2605532528957086
Croatia,2020-04-09,0.8848164563714253,0.5504108530865099,1.2606090388555915
Croatia,2020-04-10,0.8642852027693947,0.5255852191536099,1.228223692818422
Croatia,2020-04-11,0.8414027256044099,0.4944279677381766,1.2004747667291937
Croatia,2020-04-12,0.8206681990106122,0.44904025781618556,1.161781921982747
Croatia,2020-04-13,0.8051977063868405,0.4424141773963979,1.1639692033127684
Croatia,2020-04-14,0.7922395732886011,0.40396325370273845,1.138898240385694
Croatia,2020-04-15,0.7827773798332983,0.39937906868290335,1.1432260475710825
Croatia,2020-04-16,0.7787509604759255,0.3772685508330346,1.133480652620144
Croatia,2020-04-17,0.7778848084581075,0.40635175184239414,1.1742028170378878
Croatia,2020-04-18,0.7837015091860459,0.3761419402634074,1.174383762291123
Croatia,2020-04-19,0.7959052499408209,0.36289345843716375,1.1882873365030142
Croatia,2020-04-20,0.8062536695234694,0.3636255501531566,1.2060179689466408
Croatia,2020-04-21,0.8201426483750245,0.3497216636837352,1.2443721379759993
Croatia,2020-04-22,0.831724195356606,0.3226753482901163,1.2548022614526455
Croatia,2020-04-23,0.8367776135633532,0.3147300068302253,1.2770247734832623
Croatia,2020-04-24,0.8455736195461812,0.2701807621919479,1.282572735559808
Cyprus,2020-03-30,0.9066474079329614,0.2847068957424097,1.424641646064178
Cyprus,2020-03-31,0.8866630668078593,0.32632495627540203,1.4137235027208777
Cyprus,2020-04-01,0.8609803719882089,0.27890480750271807,1.3273902608002683
Cyprus,2020-04-02,0.8220531533879412,0.27585584473939107,1.2293565987317832
Cyprus,2020-04-03,0.7929517370932453,0.32213320085712827,1.2288625100131403
Cyprus,2020-04-04,0.7712724747576135,0.3409997986865416,1.2245644712132189
Cyprus,2020-04-05,0.7605236507390128,0.2952355007236503,1.1591404548309765
Cyprus,2020-04-06,0.7550928676541123,0.2620724807948702,1.1416411763006917
Cyprus,2020-04-07,0.7525565058031037,0.28597403591832,1.1484809709018797
Cyprus,2020-04-08,0.7438460266177688,0.28854057979649494,1.1588215952498024
Cyprus,2020-04-09,0.7331285666654703,0.23033157610654006,1.1022972752942644
Cyprus,2020-04-10,0.7222770574478762,0.2564641227306365,1.1216340246609446
