state,date,ML,Low_90,High_90,Low_50,High_50
AL,2020-04-01,1.53,0.87,2.09,1.24,1.74
AL,2020-04-02,1.7,1.06,2.24,1.3800000000000001,1.87
AL,2020-04-03,1.76,1.16,2.29,1.46,1.93
AL,2020-04-04,1.59,1.02,2.11,1.32,1.77
AL,2020-04-05,1.53,0.9500000000000001,2.02,1.27,1.71
AL,2020-04-06,1.6,1.05,2.09,1.34,1.77
AL,2020-04-07,1.58,1.06,2.07,1.32,1.74
AL,2020-04-08,1.61,1.07,2.06,1.35,1.76
AL,2020-04-09,1.56,1.05,2.0100000000000002,1.3,1.7
AL,2020-04-10,1.4000000000000001,0.9,1.84,1.1500000000000001,1.54
AL,2020-04-11,1.1400000000000001,0.63,1.57,0.89,1.28
AL,2020-04-12,0.93,0.42,1.37,0.7000000000000001,1.09
AL,2020-04-13,0.74,0.22,1.18,0.49,0.89
AL,2020-04-14,0.75,0.23,1.21,0.49,0.9
AL,2020-04-15,0.67,0.14,1.12,0.44,0.85
AL,2020-04-16,0.61,0.1,1.07,0.34,0.76
AL,2020-04-17,0.65,0.11,1.11,0.37,0.8
AL,2020-04-18,0.73,0.16,1.2,0.45,0.89
AL,2020-04-19,0.8300000000000001,0.26,1.32,0.5700000000000001,1.01
AL,2020-04-20,1.1,0.53,1.59,0.8200000000000001,1.26
AL,2020-04-21,1.29,0.75,1.78,1.01,1.44
AL,2020-04-22,1.44,0.9,1.9000000000000001,1.2,1.61
AL,2020-04-23,1.46,0.9400000000000001,1.9100000000000001,1.22,1.62
AR,2020-03-21,2.0,0.12,3.64,1.07,2.66
AR,2020-03-22,1.93,0.41000000000000003,3.19,1.23,2.41
AR,2020-03-23,1.87,0.6,2.94,1.29,2.2600000000000002
AR,2020-03-24,1.75,0.68,2.73,1.24,2.09
AR,2020-03-25,1.68,0.7000000000000001,2.57,1.23,2.0
AR,2020-03-26,1.45,0.52,2.2800000000000002,1.01,1.74
AR,2020-03-27,1.3,0.38,2.08,0.92,1.62
AR,2020-03-28,1.12,0.22,1.86,0.72,1.41
AR,2020-03-29,1.09,0.22,1.84,0.67,1.36
AR,2020-03-30,1.18,0.3,1.94,0.76,1.45
AR,2020-03-31,1.35,0.49,2.13,0.9400000000000001,1.62
AR,2020-04-01,1.4000000000000001,0.52,2.13,1.01,1.67
AR,2020-04-02,1.46,0.64,2.2,1.1,1.74
AR,2020-04-03,1.37,0.54,2.07,0.99,1.62
AR,2020-04-04,1.33,0.54,2.04,0.96,1.58
AR,2020-04-05,1.25,0.47000000000000003,1.95,0.9,1.51
AR,2020-04-06,1.33,0.55,2.02,0.9400000000000001,1.55
AR,2020-04-07,1.32,0.54,1.99,0.9500000000000001,1.55
AR,2020-04-08,1.31,0.55,1.98,0.9500000000000001,1.54
AR,2020-04-09,1.18,0.43,1.84,0.85,1.43
AR,2020-04-10,1.23,0.47000000000000003,1.8800000000000001,0.89,1.47
AR,2020-04-11,1.17,0.41000000000000003,1.81,0.8,1.3800000000000001
AR,2020-04-12,1.25,0.5,1.8900000000000001,0.92,1.49
AR,2020-04-13,1.18,0.46,1.83,0.8200000000000001,1.3900000000000001
AR,2020-04-14,1.17,0.43,1.8,0.86,1.42
AR,2020-04-15,1.03,0.31,1.6600000000000001,0.7000000000000001,1.26
AR,2020-04-16,0.84,0.13,1.44,0.51,1.07
AR,2020-04-17,0.79,0.1,1.4000000000000001,0.43,1.0
AR,2020-04-18,1.34,0.5700000000000001,1.98,0.98,1.56
AR,2020-04-19,1.62,0.91,2.25,1.3,1.85
AR,2020-04-20,1.97,1.32,2.58,1.6600000000000001,2.18
AR,2020-04-21,1.97,1.33,2.52,1.67,2.16
AR,2020-04-22,1.81,1.21,2.34,1.51,1.98
AR,2020-04-23,1.6,1.01,2.11,1.35,1.8
